"module name","licenses","repository","licenseUrl","parents"
"estraverse@5.2.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","esrecurse:learn-starter"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils","https://github.com/estools/esutils/raw/master/LICENSE.BSD","learn-starter"
"etag@1.8.1","MIT","https://github.com/jshttp/etag","https://github.com/jshttp/etag/raw/master/LICENSE","learn-starter"
"events@3.3.0","MIT","https://github.com/Gozala/events","https://github.com/Gozala/events/raw/master/LICENSE","learn-starter"
"evp_bytestokey@1.0.3","MIT","https://github.com/crypto-browserify/EVP_BytesToKey","https://github.com/crypto-browserify/EVP_BytesToKey/raw/master/LICENSE","learn-starter"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","learn-starter"
"fast-glob@3.2.6","MIT","https://github.com/mrmlnc/fast-glob","https://github.com/mrmlnc/fast-glob/raw/master/LICENSE","learn-starter"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify","https://github.com/epoberezkin/fast-json-stable-stringify/raw/master/LICENSE","learn-starter"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein","https://github.com/hiddentao/fast-levenshtein/raw/master/LICENSE.md","learn-starter"
"fastq@1.11.1","ISC","https://github.com/mcollina/fastq","https://github.com/mcollina/fastq/raw/master/LICENSE","learn-starter"
"file-entry-cache@6.0.1","MIT","https://github.com/royriojas/file-entry-cache","https://github.com/royriojas/file-entry-cache/raw/master/LICENSE","learn-starter"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","learn-starter"
"find-cache-dir@3.3.1","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","learn-starter"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","eslint-module-utils:learn-starter"
"find-up@4.1.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","learn-starter"
"flat-cache@3.0.4","MIT","https://github.com/royriojas/flat-cache","https://github.com/royriojas/flat-cache/raw/master/LICENSE","learn-starter"
"flatted@3.2.0","ISC","https://github.com/WebReflection/flatted","https://github.com/WebReflection/flatted/raw/master/LICENSE","learn-starter"
"foreach@2.0.5","MIT","https://github.com/manuelstofer/foreach","https://github.com/manuelstofer/foreach/raw/master/LICENSE","learn-starter"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath","https://github.com/isaacs/fs.realpath/raw/master/LICENSE","learn-starter"
"fsevents@2.3.2","MIT","https://github.com/fsevents/fsevents","https://github.com/fsevents/fsevents/raw/master/LICENSE","learn-starter"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind","https://github.com/Raynos/function-bind/raw/master/LICENSE","learn-starter"
"functional-red-black-tree@1.0.1","MIT","https://github.com/mikolalysenko/functional-red-black-tree","https://github.com/mikolalysenko/functional-red-black-tree/raw/master/LICENSE","learn-starter"
"get-intrinsic@1.1.1","MIT","https://github.com/ljharb/get-intrinsic","https://github.com/ljharb/get-intrinsic/raw/master/LICENSE","learn-starter"
"get-orientation@1.1.2","MIT","https://github.com/mooyoul/get-orientation","https://github.com/mooyoul/get-orientation/raw/master/LICENSE","learn-starter"
"github-url-from-git@1.5.0","MIT","https://github.com/visionmedia/node-github-url-from-git","https://github.com/visionmedia/node-github-url-from-git/raw/master/LICENSE","learn-starter"
"github-url-from-username-repo@1.0.2","BSD-2-Clause","https://github.com/robertkowalski/github-url-from-username-repo","https://github.com/robertkowalski/github-url-from-username-repo/raw/master/LICENSE","learn-starter"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent","https://github.com/gulpjs/glob-parent/raw/master/LICENSE","learn-starter"
"glob-to-regexp@0.4.1","BSD-2-Clause","https://github.com/fitzgen/glob-to-regexp","https://github.com/fitzgen/glob-to-regexp","learn-starter"
"glob@5.0.15","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","read-package-json:learn-starter"
"glob@7.1.7","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","learn-starter"
"globals@13.9.0","MIT","https://github.com/sindresorhus/globals","https://github.com/sindresorhus/globals/raw/master/license","learn-starter"
"globby@11.0.4","MIT","https://github.com/sindresorhus/globby","https://github.com/sindresorhus/globby/raw/master/license","learn-starter"
"graceful-fs@3.0.12","ISC","https://github.com/isaacs/node-graceful-fs","https://github.com/isaacs/node-graceful-fs/raw/master/LICENSE","read-installed:learn-starter"
"graceful-fs@4.2.6","ISC","https://github.com/isaacs/node-graceful-fs","https://github.com/isaacs/node-graceful-fs/raw/master/LICENSE","learn-starter"
"has-ansi@0.1.0","MIT","https://github.com/sindresorhus/has-ansi","https://github.com/sindresorhus/has-ansi","learn-starter"
"has-bigints@1.0.1","MIT","https://github.com/ljharb/has-bigints","https://github.com/ljharb/has-bigints/raw/master/LICENSE","learn-starter"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","learn-starter"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","@next/react-dev-overlay:learn-starter"
"has-symbols@1.0.2","MIT","https://github.com/inspect-js/has-symbols","https://github.com/inspect-js/has-symbols/raw/master/LICENSE","learn-starter"
"has@1.0.3","MIT","https://github.com/tarruda/has","https://github.com/tarruda/has/raw/master/LICENSE-MIT","learn-starter"
"hash-base@3.1.0","MIT","https://github.com/crypto-browserify/hash-base","https://github.com/crypto-browserify/hash-base/raw/master/LICENSE","learn-starter"
"hash.js@1.1.7","MIT","https://github.com/indutny/hash.js","https://github.com/indutny/hash.js","learn-starter"
"he@1.2.0","MIT","https://github.com/mathiasbynens/he","https://github.com/mathiasbynens/he/raw/master/LICENSE-MIT.txt","learn-starter"
"hmac-drbg@1.0.1","MIT","https://github.com/indutny/hmac-drbg","https://github.com/indutny/hmac-drbg","learn-starter"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info","https://github.com/npm/hosted-git-info/raw/master/LICENSE","learn-starter"
"http-errors@1.7.3","MIT","https://github.com/jshttp/http-errors","https://github.com/jshttp/http-errors/raw/master/LICENSE","learn-starter"
"https-browserify@1.0.0","MIT","https://github.com/substack/https-browserify","https://github.com/substack/https-browserify/raw/master/LICENSE","learn-starter"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite","https://github.com/ashtuchkin/iconv-lite/raw/master/LICENSE","raw-body:learn-starter"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite","https://github.com/ashtuchkin/iconv-lite/raw/master/LICENSE","learn-starter"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754","https://github.com/feross/ieee754/raw/master/LICENSE","learn-starter"
"ignore@4.0.6","MIT","https://github.com/kaelzhang/node-ignore","https://github.com/kaelzhang/node-ignore/raw/master/LICENSE-MIT","@eslint/eslintrc:learn-starter"
"ignore@5.1.8","MIT","https://github.com/kaelzhang/node-ignore","https://github.com/kaelzhang/node-ignore/raw/master/LICENSE-MIT","learn-starter"
"import-fresh@3.3.0","MIT","https://github.com/sindresorhus/import-fresh","https://github.com/sindresorhus/import-fresh/raw/master/license","learn-starter"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js","https://github.com/jensyt/imurmurhash-js","learn-starter"
"inflight@1.0.6","ISC","https://github.com/npm/inflight","https://github.com/npm/inflight/raw/master/LICENSE","learn-starter"
"inherits@2.0.1","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","node-libs-browser:learn-starter"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","util:node-libs-browser:learn-starter"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","learn-starter"
"internal-slot@1.0.3","MIT","https://github.com/ljharb/internal-slot","https://github.com/ljharb/internal-slot/raw/master/LICENSE","learn-starter"
"is-arguments@1.1.0","MIT","https://github.com/inspect-js/is-arguments","https://github.com/inspect-js/is-arguments/raw/master/LICENSE","learn-starter"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish","https://github.com/qix-/node-is-arrayish/raw/master/LICENSE","learn-starter"
"is-bigint@1.0.2","MIT","https://github.com/inspect-js/is-bigint","https://github.com/inspect-js/is-bigint/raw/master/LICENSE","learn-starter"
